Frank Manola
Christoph Beierle
Udo Pletat
Ipke Wachsmuth
Christopher Habel
Klaus Rehkmper
JeanYves Lerner
Ulrich Schatz
Simone Pribbenow
Otthein Herzog
ClausRainer Rollinger
Peter H Schmitt
Petra Steffens
Rudi Studer
Birgit Wesche
Brigitte BartschSprl
F Gnthner
Christopher Habel
Siegfried Kanngieer
Christian Rohrer
Thomas Ludwig
Brigitte BartschSprl
Brigitte BartschSprl
Jim Gray
Vera Watson
Irving L Traiger
Jim Gray
Cesare A Galtieli
Bruce G Lindsay
Karl Dotzek
Christoph Beierle
Ulrich Hedtstck
Udo Pletat
Peter H Schmitt
Jrg H Siekmann
Egon Brger
Otthein Herzog
Stefan Bttcher
Ralph Scheubrein
Thomas Ludwig
Stefan Benzschawel
Erich Gehlen
Karl Schlechta
Bernhard Beckert
Ulrike Rackow
Peter Gerstl
Ulrike Rackow
Ido Dagan
Ulrike Schwall
Birgit Wendholt
Lothar Breuer
Christopher Lusena
Judy Goldsmith
Martin Mundhenk
Christoph Meinel
Harald Sack
Arno Wagner
Lothar Breuer
Christoph Meinel
Volker Schillings
Carsten Damm
Matthias Krause
Christoph Meinel
Stephan Waack
Klaus Jansen
Matthias Heinkenschloss
Dirk FroschWilke
Anna Slobodov
Christoph Meinel
Ulrich Hertrampf
Jochen Bern
Christoph Meinel
Anna Slobodov
Carsten Damm
Markus Holzer
Reiner Horst
Nguyen V Thoai
Ulrich Hertrampf
Manfred Laumen
Klaus Jansen
Thomas Erlebach
Klaus Jansen
Andreas Neumann
Christoph W Keler
Markus Roters
Richard Rdler
Richard Rdler
Markus R Schmidt
Divesh Srivastava
Shaul Dar
Joann J Ordille
Francisco Reverbell
Michael J Franklin
Dietmar Seipel
Iakovos Motakis
Arnon Rosenthal
Emil Sekerinski
Franois Pilarski
JeanRaymond Abrial
Louis Mussat
Richard Banach
M Poppleton
Bill Stoddart
Steve Dunne
Andy Galloway
Richard Shore
Walter Baur
Bart Preneel
Klaus Vedder
Klaus Vedder
Andr Schiper
Roy Friedman
Achour Mostfaoui
Sergio Rajsbaum
Michel Raynal
Pulin R Patel
Jack M Holtzman
Werner Bux
Wayne Iba
Pat Langley
Gordon Lennox
Antonio L Perrone
Antoni W Mazurkiewicz
Marco Ajmone Marsan
Andrea Bobbio
Susanna Donatelli
William M Waite
Gnter M Ziegler
Klaus Voss
Luc Boug
David Cachera
Yann Le Guyadec
Gil Utard
Bernard Virot
David Park
Joseph Sifakis
Jnos Komls
Ali Shokoufandeh
Mikls Simonovits
Endre Szemerdi
Frank Kriwaczek
Igor Mozetic
Mogens Nielsen
Gerard J M Janssen
Patrick A Stigter
Ramjee Prasad
M J McCullagh
D R Wisely
P L Eardly
P P Smyth
Bernadette CharronBost
Konrad Zuse
Hartmann J Genrich
E StankiewiczWiechno
Fulvio Babich
Ernst Specker
Bettina Kemme
Giuliana Franceschinis
Marina Ribaudo
Amin Vahdat
Jian Yin
JeanPhilippe Martin
Arun Venkataramani
Lorenzo Alvisi
Michael Dahlin
William M McKeeman
Werner Bux
Felix Closs
Karl Kmmerle
Hans R Mueller
M Griffiths
Zdenek Kouba
Kenneth J Thurber
Eva Hajicov
Butler W Lampson
Antoon Bosselaers
Ren Govaerts
Joos Vandewalle
Ermanno Berruto
T Brnnlund
J Gustafsson
D Maiwald
Wolfgang Schott
P Whitworth
Stephen R Kimbleton
Pearl Y Wang
Butler W Lampson
Gernot Stroth
GuyRen Perrin
Nikolaos Vassilas
Elias Kalapanidas
Nikolaos M Avouris
Stavros J Perantonis
Idit Keidar
Sergio Rajsbaum
Raymond T Boute
Barbara Liskov
JeanLuc Dekeyser
Philippe Marquet
Burton S Kaliski Jr
Albert T Kndig
M Griffiths
A P Ershov
Martin Frer
Walter Fumy
Kurt Jensen
Sren Molander
F R Gfeller
P Bernasconi
Walter Hirt
C Elisii
B Weiss
Franklin L DeRemer
Manuel Silva
Enrique Teruel
Robert Valette
H Pingaud
Vijay V Vazirani
Gero Blanke
Guillaume Cretin
Evelyne Lutton
Jacques LvyVehel
Philippe Glevarec
Cdric Roll
Alain Ratle
Michle Sebag
Cristina Cuenca
JeanClaude Heudin
Mathieu Peyral
Antoine Ducoulombier
Caroline Ravise
Marc Schoenauer
Michle Sebag
A E Eiben
J K van der Hauw
Nicolas Monmarch
G Nocent
Gilles Venturini
P Santini
Alain Ratle
Deryck F Brown
A Beatriz GarmendiaDoval
John A W McCall
Vittorio Gorrini
Marco Dorigo
Gregory Paris
Denis Robilliard
Cyril Fonlupt
Bart Naudts
Alain Verschoren
Philippe Mathieu
Bruno Beaufils
JeanPaul Delahaye
Denis Robilliard
Cyril Fonlupt
Spyros Xanthakis
Constantinos Karapoulios
Rgis Pajot
Ahmed Rozz
